timestamp,distance
980165,2.60
981168,4.25
982183,181.88
983187,3.28
984191,3.93
985195,9.81
986199,7.70
987210,136.37
988222,136.00
989234,136.73
990245,136.39
991257,136.73
992269,136.29
993280,136.39
994292,136.39
995304,136.02
996316,136.43
997327,137.26
998339,136.03
999350,136.37
1000362,135.98
1001373,136.83
1002385,136.71
1003396,136.41
1004407,136.02
1005418,136.80
1006431,136.36
1007443,135.98
1008454,136.80
1009465,136.00
1010477,136.02
1011489,136.00
1012501,135.98
1013512,136.85
1014523,136.37
1015535,136.02
1016548,136.36
1017559,136.31
1018570,136.39
1019581,136.02
1020594,135.91
1021605,136.03
1022616,136.75
1023627,136.03
1024639,137.21
1025650,135.90
1026661,136.02
1027672,136.82
1028684,136.00
1029695,136.00
1030706,135.59
1031717,136.39
1032729,136.41
1033741,136.82
1034753,136.41
1035765,136.41
1036777,136.32
1037788,136.39
1038799,136.39
1039811,136.36
1040822,136.83
1041834,135.90
1042846,135.91
1043858,135.93
1044872,180.56
1045885,135.91
1046896,136.73
1047907,136.75
1048919,136.37
1049930,135.95
1050941,135.49
1051952,135.91
1052957,29.33
1053968,137.16
1054979,136.31
1055991,137.07
1057003,136.34
1058014,136.34
1059026,136.36
1060037,135.93
1061049,136.71
1062060,135.93
1063072,136.70
1064083,136.00
1065094,136.80
1066106,136.36
1067117,136.82
1068128,135.56
1069139,136.80
1070150,136.37
1071161,136.37
1072173,136.26
1073184,136.00
1074195,136.03
1075207,136.02
1076218,136.02
1077233,181.07
1078245,136.02
1079256,136.48
1080268,136.03
1081280,136.87
1082291,136.03
1083302,136.03
1084313,136.03
1085324,136.82
1086335,136.37
1087347,136.02
1088358,136.43
1089370,136.36
1090381,135.56
1091393,137.72
1092405,135.97
1093416,136.02
1094427,136.02
1095438,137.26
1096450,135.98
1097461,136.43
1098472,136.02
1099484,136.00
1100496,136.80
1101508,137.12
1102520,137.22
1103531,135.97
1104542,136.36
1105554,137.24
1106566,136.80
1107578,136.78
1108589,136.80
1109601,136.36
1110612,135.93
1111623,136.80
1112635,136.78
1113647,136.00
1114658,135.98
1115669,136.00
1116680,136.43
1117691,136.41
1118703,136.02
1119714,136.02
1120725,136.37
1121737,136.80
1122749,135.98
1123760,135.97
1124773,136.83
1125784,136.02
1126796,136.00
1127808,136.43
1128819,137.24
1129831,136.43
1130843,135.98
1131855,135.95
1132867,137.24
1133879,135.88
1134890,136.65
1135901,135.97
1136913,135.57
1137925,136.46
1138936,135.59
1139948,136.44
1140959,136.43
1141971,136.00
1142983,136.43
1143995,136.43
1145006,135.98
1146021,181.05
1147032,135.97
1148044,136.44
1149058,180.74
1150072,180.66
1151085,136.02
1152096,136.83
1153108,135.90
1154122,180.73
1155134,135.90
1156145,136.02
1157157,135.56
1158169,136.39
1159181,136.36
1160192,136.37
1161204,135.95
1162218,180.64
1163230,136.82
1164242,135.57
1165257,180.71
1166268,136.87
1167280,136.37
1168290,135.98
1169303,135.54
1170314,135.57
1171326,136.03
1172338,136.46
1173349,136.02
1174360,136.48
1175372,136.73
1176383,136.05
1177395,136.87
1178407,136.02
1179418,136.02
1180424,33.37
1181436,136.00
1182442,35.90
1183448,36.01
1184462,181.05
1185474,136.44
1186488,180.64
1187495,37.52
1188508,135.98
1189520,136.26
1190532,136.39
1191544,136.37
1192557,136.37
1193568,136.37
1194580,136.83
1195592,135.59
1196603,136.37
1197615,136.80
1198629,180.71
1199641,136.03
1200653,136.48
1201665,136.02
1202676,136.00
1203687,136.02
1204698,135.98
1205710,135.97
1206722,136.78
1207733,136.41
1208744,136.00
1209756,136.43
1210768,136.43
1211780,136.07
1212791,136.37
1213802,135.91
1214814,137.70
1215825,136.44
1216836,136.48
1217848,136.00
1218859,136.00
1219871,136.00
1220882,136.44
1221893,136.05
1222905,136.83
1223916,136.44
1224928,135.98
1225939,136.48
1226950,136.07
1227962,136.03
1228973,136.88
1229985,137.33
1230997,136.87
1232009,136.44
1233020,136.05
1234033,136.41
1235044,136.44
1236055,136.07
1237066,136.85
1238077,136.32
1239088,136.00
1240100,136.00
1241111,136.75
1242122,136.87
1243133,136.43
1244145,136.41
1245150,42.43
1246156,37.25
1247160,19.01
1248172,135.86
1249177,38.44
1250183,46.31
1251188,43.42
1252200,136.76
1253206,49.13
1254211,32.86
1255226,180.54
1256240,180.61
1257251,134.16
1258265,180.49
1259279,182.10
1260293,182.14
1261307,182.15
1262314,48.98
1263329,182.05
1264343,182.12
1265349,44.17
1266354,37.18
1267368,182.05
1268375,42.24
1269381,38.11
1270387,35.70
1271393,37.15
1272398,35.46
1273413,182.09
1274427,182.10
1275433,37.52
1276439,36.14
1277444,36.82
1278450,42.42
1279464,182.02
1280471,61.68
1281476,42.55
1282490,182.12
1283496,47.74
1284503,49.32
1285510,49.30
1286523,182.24
1287538,181.73
1288543,41.90
1289549,39.92
1290563,182.10
1291577,182.24
1292590,182.14
1293595,35.70
1294601,36.13
1295606,44.63
1296611,37.08
1297617,42.19
1298623,42.52
1299628,36.40
1300633,36.40
1301639,35.58
1302644,35.67
1303649,38.20
1304655,37.64
1305660,41.19
1306674,182.09
1307689,182.09
1308700,143.16
1309714,182.15
1310728,182.09
1311733,36.84
1312747,182.09
1313761,182.10
1314775,182.10
1315789,182.12
1316794,25.67
1317809,182.07
1318814,24.68
1319826,143.63
1320840,181.73
1321855,182.09
1322861,40.95
1323873,142.19
1324886,142.71
1325899,182.10
1326913,181.73
1327927,182.12
1328938,143.57
1329944,44.03
1330959,182.12
1331973,182.10
1332979,42.65
1333985,49.50
1334999,182.12
1336013,182.10
1337027,181.78
1338041,182.07
1339056,182.15
1340070,182.12
1341084,182.12
1342098,182.14
1343113,182.12
1344126,182.15
1345140,182.07
1346154,182.12
1347168,182.07
1348174,48.99
1349189,182.21
1350203,182.10
1351216,182.07
1352222,36.55
1353236,182.22
1354250,182.17
1355264,182.17
1356278,182.24
1357292,182.22
1358306,182.12
1359320,182.17
1360335,182.07
1361340,43.44
1362354,182.15
1363369,182.14
1364383,182.12
1365397,182.14
1366403,37.89
1367417,182.17
1368431,182.07
1369442,143.48
1370456,182.09
1371462,41.56
1372477,182.15
1373491,182.12
1374504,182.14
1375518,182.05
1376532,182.24
1377546,182.24
1378560,182.24
1379573,182.10
1380587,181.70
1381601,182.05
1382615,182.17
1383629,182.14
1384635,42.45
1385649,182.09
1386655,44.64
1387669,182.12
1388683,182.17
1389688,39.27
1390702,182.15
1391707,35.92
1392713,37.99
1393727,182.12
1394741,182.12
1395755,182.14
1396769,182.14
1397782,182.10
1398794,143.50
1399809,182.26
1400823,182.26
1401837,182.15
1402851,182.17
1403865,182.12
1404877,142.73
1405883,45.07
1406897,182.15
1407903,42.26
1408917,181.73
1409931,182.15
1410937,40.95
1411951,182.17
1412964,182.10
1413979,182.12
1414993,182.12
1415998,39.37
1417012,181.80
1418017,35.36
1419031,181.82
1420045,182.26
1421050,36.02
1422055,34.68
1423060,35.46
1424066,35.46
